y_true_step_1,y_predict_step_1
126.43483333333332,165.17393
115.81333333333332,136.95403
133.84383333333332,126.666
129.3665,109.75138
131.2025,102.459854
129.88250000000002,127.80568
124.6925,137.32426
102.12766666666668,126.65318
127.8185,127.74361
130.87833333333336,119.89319
145.56216666666666,115.564514
295.8816666666667,197.44514
731.3058333333333,628.879
682.9831666666666,616.11786
633.0533333333333,609.46466
504.3655,508.71448
255.38483333333332,258.66443
732.4358333333333,614.37494
670.9163333333333,591.1243
644.9185,570.0583
501.85566666666665,499.2167
231.915,261.28397
321.1865,271.53143
299.505,248.7364
262.3943333333333,201.65828
230.59483333333336,173.12766
214.22016666666667,170.28635
170.7055,144.58229
171.845,134.36302
170.9646666666667,123.53465
169.149,124.57126
173.58550000000002,116.35442
190.01833333333332,132.04332
176.32333333333332,131.04198
175.18633333333335,134.50441
344.0855,236.74367
678.0336666666667,591.41974
603.0733333333334,596.1396
589.8824999999999,576.472
472.95866666666666,476.73935
268.0163333333333,243.98494
709.5535,635.01953
621.4830000000001,603.31146
605.3086666666667,567.6268
480.0595,418.4823
278.4785,241.89948
337.7163333333333,263.39096
338.2353333333333,244.58359
243.19433333333333,193.6275
204.4246666666667,156.53958
192.5865,144.15909
181.76466666666667,126.283356
176.11266666666668,125.59503
152.22650000000002,118.95452
151.85133333333334,122.46242
151.73716666666667,115.67774
169.95733333333334,137.30945
176.12633333333332,127.974205
194.86,126.971016
317.9463333333333,279.40076
663.5001666666667,649.4969
623.365,594.9114
602.89,560.2469
440.1326666666666,465.44794
251.49183333333332,231.71257
651.2378333333334,643.475
571.8268333333333,597.6671
564.0523333333333,558.2476
414.4331666666666,437.36032
230.3695,251.87688
270.113,278.4846
260.82366666666667,247.86084
196.7168333333333,202.20522
195.6051666666667,163.62074
185.4426666666667,148.14178
174.75033333333334,127.186516
146.6185,130.18709
136.77166666666665,128.18587
135.21983333333336,125.77219
134.815,119.48846
148.5445,136.19048
158.61766666666665,126.29421
178.77966666666669,125.67782
348.38716666666664,269.88577
642.6851666666666,599.24774
610.6313333333333,534.1946
600.2228333333334,513.1054
489.5321666666667,411.0349
246.7423333333333,218.43727
679.2121666666667,604.5725
613.4078333333333,547.87836
584.1351666666667,525.37054
441.1286666666667,430.97263
258.0493333333333,243.18361
315.3208333333333,267.88174
342.0588333333333,246.82155
309.7241666666667,197.83174
275.7251666666667,162.67436
229.017,145.71443
205.121,131.17596
207.38,124.46152
208.1165,122.208626
205.8855,117.82714
205.4945,113.40146
215.205,139.21211
214.988,119.06609
171.90016666666668,111.86269
155.74466666666666,158.61449
180.4298333333333,145.35452
249.5915,187.59518
